,problem,agent,raw_trials,trials_to_criterion,participant,fails,event,num_objects
367,23,Humans,,7,28.0,0,1,3
500,18,Humans,,0,4.0,0,1,6
501,19,Humans,,1,4.0,0,1,2
502,20,Humans,,6,4.0,0,1,2
503,21,Humans,,34,4.0,1,0,2
504,22,Humans,,2,4.0,0,1,3
505,23,Humans,,2,4.0,0,1,3
506,1,Humans,,21,52.0,0,1,2
507,2,Humans,,1,52.0,0,1,2
508,3,Humans,,11,52.0,0,1,4
509,4,Humans,,0,52.0,0,1,2
510,5,Humans,,5,52.0,0,1,4
511,6,Humans,,34,52.0,1,0,4
512,7,Humans,,34,52.0,1,0,6
513,8,Humans,,23,52.0,0,1,2
514,9,Humans,,6,52.0,0,1,3
515,10,Humans,,0,52.0,0,1,4
516,11,Humans,,2,52.0,0,1,2
517,12,Humans,,34,52.0,1,0,3
518,13,Humans,,34,52.0,1,0,4
519,14,Humans,,34,52.0,1,0,3
520,15,Humans,,3,52.0,0,1,4
499,17,Humans,,4,4.0,0,1,4
498,16,Humans,,34,4.0,1,0,6
497,15,Humans,,5,4.0,0,1,4
496,14,Humans,,0,4.0,0,1,3
474,15,Humans,,0,48.0,0,1,4
475,16,Humans,,14,48.0,0,1,6
476,17,Humans,,34,48.0,1,0,4
477,18,Humans,,11,48.0,0,1,6
478,19,Humans,,7,48.0,0,1,2
479,20,Humans,,6,48.0,0,1,2
480,21,Humans,,4,48.0,0,1,2
481,22,Humans,,6,48.0,0,1,3
482,23,Humans,,8,48.0,0,1,3
483,1,Humans,,2,4.0,0,1,2
521,16,Humans,,1,52.0,0,1,6
484,2,Humans,,0,4.0,0,1,2
486,4,Humans,,0,4.0,0,1,2
487,5,Humans,,1,4.0,0,1,4
488,6,Humans,,20,4.0,0,1,4
489,7,Humans,,1,4.0,0,1,6
490,8,Humans,,0,4.0,0,1,2
491,9,Humans,,2,4.0,0,1,3
492,10,Humans,,6,4.0,0,1,4
493,11,Humans,,3,4.0,0,1,2
494,12,Humans,,34,4.0,1,0,3
495,13,Humans,,0,4.0,0,1,4
485,3,Humans,,7,4.0,0,1,4
522,17,Humans,,34,52.0,1,0,4
523,18,Humans,,25,52.0,0,1,6
524,19,Humans,,34,52.0,1,0,2
551,23,Humans,,6,60.0,0,1,3
552,1,Humans,,7,64.0,0,1,2
553,2,Humans,,4,64.0,0,1,2
554,3,Humans,,1,64.0,0,1,4
555,4,Humans,,7,64.0,0,1,2
556,5,Humans,,5,64.0,0,1,4
557,6,Humans,,17,64.0,0,1,4
558,7,Humans,,5,64.0,0,1,6
559,8,Humans,,2,64.0,0,1,2
560,9,Humans,,3,64.0,0,1,3
550,22,Humans,,1,60.0,0,1,3
561,10,Humans,,4,64.0,0,1,4
563,12,Humans,,3,64.0,0,1,3
564,13,Humans,,1,64.0,0,1,4
565,14,Humans,,3,64.0,0,1,3
566,15,Humans,,3,64.0,0,1,4
567,16,Humans,,34,64.0,1,0,6
568,17,Humans,,34,64.0,1,0,4
569,18,Humans,,34,64.0,1,0,6
570,19,Humans,,1,64.0,0,1,2
571,20,Humans,,1,64.0,0,1,2
572,21,Humans,,11,64.0,0,1,2
562,11,Humans,,2,64.0,0,1,2
473,14,Humans,,13,48.0,0,1,3
549,21,Humans,,2,60.0,0,1,2
547,19,Humans,,7,60.0,0,1,2
525,20,Humans,,34,52.0,1,0,2
526,21,Humans,,34,52.0,1,0,2
527,22,Humans,,34,52.0,1,0,3
528,23,Humans,,3,52.0,0,1,3
529,1,Humans,,0,60.0,0,1,2
530,2,Humans,,2,60.0,0,1,2
531,3,Humans,,0,60.0,0,1,4
532,4,Humans,,0,60.0,0,1,2
533,5,Humans,,3,60.0,0,1,4
534,6,Humans,,34,60.0,1,0,4
548,20,Humans,,14,60.0,0,1,2
535,7,Humans,,6,60.0,0,1,6
537,9,Humans,,6,60.0,0,1,3
538,10,Humans,,0,60.0,0,1,4
539,11,Humans,,0,60.0,0,1,2
540,12,Humans,,5,60.0,0,1,3
541,13,Humans,,0,60.0,0,1,4
542,14,Humans,,6,60.0,0,1,3
543,15,Humans,,0,60.0,0,1,4
544,16,Humans,,1,60.0,0,1,6
545,17,Humans,,34,60.0,1,0,4
546,18,Humans,,1,60.0,0,1,6
536,8,Humans,,1,60.0,0,1,2
472,13,Humans,,7,48.0,0,1,4
471,12,Humans,,8,48.0,0,1,3
470,11,Humans,,7,48.0,0,1,2
396,6,Humans,,8,36.0,0,1,4
397,7,Humans,,0,36.0,0,1,6
398,8,Humans,,7,36.0,0,1,2
399,9,Humans,,1,36.0,0,1,3
400,10,Humans,,4,36.0,0,1,4
401,11,Humans,,1,36.0,0,1,2
402,12,Humans,,8,36.0,0,1,3
403,13,Humans,,7,36.0,0,1,4
404,14,Humans,,5,36.0,0,1,3
405,15,Humans,,6,36.0,0,1,4
395,5,Humans,,34,36.0,1,0,4
406,16,Humans,,25,36.0,0,1,6
408,18,Humans,,7,36.0,0,1,6
409,19,Humans,,0,36.0,0,1,2
410,20,Humans,,2,36.0,0,1,2
411,21,Humans,,5,36.0,0,1,2
412,22,Humans,,0,36.0,0,1,3
413,23,Humans,,3,36.0,0,1,3
414,1,Humans,,34,40.0,1,0,2
415,2,Humans,,34,40.0,1,0,2
416,3,Humans,,11,40.0,0,1,4
417,4,Humans,,1,40.0,0,1,2
407,17,Humans,,34,36.0,1,0,4
418,5,Humans,,7,40.0,0,1,4
394,4,Humans,,6,36.0,0,1,2
392,2,Humans,,2,36.0,0,1,2
370,3,Humans,,0,32.0,0,1,4
371,4,Humans,,0,32.0,0,1,2
372,5,Humans,,25,32.0,0,1,4
373,6,Humans,,34,32.0,1,0,4
374,7,Humans,,6,32.0,0,1,6
375,8,Humans,,5,32.0,0,1,2
376,9,Humans,,34,32.0,1,0,3
377,10,Humans,,1,32.0,0,1,4
378,11,Humans,,2,32.0,0,1,2
379,12,Humans,,34,32.0,1,0,3
393,3,Humans,,0,36.0,0,1,4
380,13,Humans,,7,32.0,0,1,4
382,15,Humans,,1,32.0,0,1,4
383,16,Humans,,34,32.0,1,0,6
384,17,Humans,,34,32.0,1,0,4
385,18,Humans,,14,32.0,0,1,6
386,19,Humans,,7,32.0,0,1,2
387,20,Humans,,19,32.0,0,1,2
388,21,Humans,,11,32.0,0,1,2
389,22,Humans,,5,32.0,0,1,3
390,23,Humans,,4,32.0,0,1,3
391,1,Humans,,5,36.0,0,1,2
381,14,Humans,,3,32.0,0,1,3
573,22,Humans,,7,64.0,0,1,3
419,6,Humans,,34,40.0,1,0,4
421,8,Humans,,0,40.0,0,1,2
448,12,Humans,,19,44.0,0,1,3
449,13,Humans,,8,44.0,0,1,4
450,14,Humans,,2,44.0,0,1,3
451,15,Humans,,1,44.0,0,1,4
452,16,Humans,,34,44.0,1,0,6
453,17,Humans,,2,44.0,0,1,4
454,18,Humans,,1,44.0,0,1,6
455,19,Humans,,4,44.0,0,1,2
456,20,Humans,,10,44.0,0,1,2
457,21,Humans,,34,44.0,1,0,2
447,11,Humans,,1,44.0,0,1,2
458,22,Humans,,4,44.0,0,1,3
460,1,Humans,,1,48.0,0,1,2
461,2,Humans,,8,48.0,0,1,2
462,3,Humans,,5,48.0,0,1,4
463,4,Humans,,10,48.0,0,1,2
464,5,Humans,,6,48.0,0,1,4
465,6,Humans,,34,48.0,1,0,4
466,7,Humans,,7,48.0,0,1,6
467,8,Humans,,9,48.0,0,1,2
468,9,Humans,,17,48.0,0,1,3
469,10,Humans,,0,48.0,0,1,4
459,23,Humans,,5,44.0,0,1,3
420,7,Humans,,18,40.0,0,1,6
446,10,Humans,,7,44.0,0,1,4
444,8,Humans,,1,44.0,0,1,2
422,9,Humans,,34,40.0,1,0,3
423,10,Humans,,1,40.0,0,1,4
424,11,Humans,,1,40.0,0,1,2
425,12,Humans,,4,40.0,0,1,3
426,13,Humans,,4,40.0,0,1,4
427,14,Humans,,34,40.0,1,0,3
428,15,Humans,,2,40.0,0,1,4
429,16,Humans,,34,40.0,1,0,6
430,17,Humans,,34,40.0,1,0,4
431,18,Humans,,34,40.0,1,0,6
445,9,Humans,,6,44.0,0,1,3
432,19,Humans,,34,40.0,1,0,2
434,21,Humans,,34,40.0,1,0,2
435,22,Humans,,34,40.0,1,0,3
436,23,Humans,,34,40.0,1,0,3
437,1,Humans,,1,44.0,0,1,2
438,2,Humans,,4,44.0,0,1,2
439,3,Humans,,1,44.0,0,1,4
440,4,Humans,,0,44.0,0,1,2
441,5,Humans,,11,44.0,0,1,4
442,6,Humans,,17,44.0,0,1,4
443,7,Humans,,3,44.0,0,1,6
433,20,Humans,,34,40.0,1,0,2
369,2,Humans,,34,32.0,1,0,2
574,23,Humans,,5,64.0,0,1,3
576,2,Humans,,34,68.0,1,0,2
707,18,Humans,,34,88.0,1,0,6
708,19,Humans,,34,88.0,1,0,2
709,20,Humans,,34,88.0,1,0,2
710,21,Humans,,34,88.0,1,0,2
711,22,Humans,,34,88.0,1,0,3
712,23,Humans,,10,88.0,0,1,3
713,1,Humans,,34,8.0,1,0,2
714,2,Humans,,4,8.0,0,1,2
715,3,Humans,,34,8.0,1,0,4
716,4,Humans,,0,8.0,0,1,2
717,5,Humans,,34,8.0,1,0,4
718,6,Humans,,34,8.0,1,0,4
719,7,Humans,,34,8.0,1,0,6
720,8,Humans,,4,8.0,0,1,2
721,9,Humans,,18,8.0,0,1,3
722,10,Humans,,1,8.0,0,1,4
723,11,Humans,,0,8.0,0,1,2
724,12,Humans,,1,8.0,0,1,3
725,13,Humans,,34,8.0,1,0,4
726,14,Humans,,2,8.0,0,1,3
727,15,Humans,,34,8.0,1,0,4
706,17,Humans,,34,88.0,1,0,4
705,16,Humans,,34,88.0,1,0,6
704,15,Humans,,34,88.0,1,0,4
703,14,Humans,,34,88.0,1,0,3
681,15,Humans,,3,84.0,0,1,4
682,16,Humans,,13,84.0,0,1,6
683,17,Humans,,34,84.0,1,0,4
684,18,Humans,,34,84.0,1,0,6
685,19,Humans,,7,84.0,0,1,2
686,20,Humans,,2,84.0,0,1,2
687,21,Humans,,14,84.0,0,1,2
688,22,Humans,,2,84.0,0,1,3
689,23,Humans,,7,84.0,0,1,3
690,1,Humans,,34,88.0,1,0,2
728,16,Humans,,34,8.0,1,0,6
691,2,Humans,,2,88.0,0,1,2
693,4,Humans,,1,88.0,0,1,2
694,5,Humans,,34,88.0,1,0,4
695,6,Humans,,34,88.0,1,0,4
696,7,Humans,,34,88.0,1,0,6
697,8,Humans,,6,88.0,0,1,2
698,9,Humans,,34,88.0,1,0,3
699,10,Humans,,18,88.0,0,1,4
700,11,Humans,,0,88.0,0,1,2
701,12,Humans,,34,88.0,1,0,3
702,13,Humans,,34,88.0,1,0,4
692,3,Humans,,3,88.0,0,1,4
729,17,Humans,,34,8.0,1,0,4
730,18,Humans,,34,8.0,1,0,6
731,19,Humans,,1,8.0,0,1,2
758,23,Humans,,17,92.0,0,1,3
759,1,Humans,,2,96.0,0,1,2
760,2,Humans,,11,96.0,0,1,2
761,3,Humans,,0,96.0,0,1,4
762,4,Humans,,6,96.0,0,1,2
763,5,Humans,,5,96.0,0,1,4
764,6,Humans,,4,96.0,0,1,4
765,7,Humans,,6,96.0,0,1,6
766,8,Humans,,5,96.0,0,1,2
767,9,Humans,,0,96.0,0,1,3
757,22,Humans,,0,92.0,0,1,3
768,10,Humans,,0,96.0,0,1,4
770,12,Humans,,3,96.0,0,1,3
771,13,Humans,,7,96.0,0,1,4
772,14,Humans,,15,96.0,0,1,3
773,15,Humans,,2,96.0,0,1,4
774,16,Humans,,7,96.0,0,1,6
775,17,Humans,,5,96.0,0,1,4
776,18,Humans,,16,96.0,0,1,6
777,19,Humans,,4,96.0,0,1,2
778,20,Humans,,12,96.0,0,1,2
779,21,Humans,,7,96.0,0,1,2
769,11,Humans,,1,96.0,0,1,2
680,14,Humans,,20,84.0,0,1,3
756,21,Humans,,34,92.0,1,0,2
754,19,Humans,,1,92.0,0,1,2
732,20,Humans,,16,8.0,0,1,2
733,21,Humans,,34,8.0,1,0,2
734,22,Humans,,6,8.0,0,1,3
735,23,Humans,,5,8.0,0,1,3
736,1,Humans,,4,92.0,0,1,2
737,2,Humans,,19,92.0,0,1,2
738,3,Humans,,1,92.0,0,1,4
739,4,Humans,,1,92.0,0,1,2
740,5,Humans,,25,92.0,0,1,4
741,6,Humans,,17,92.0,0,1,4
755,20,Humans,,34,92.0,1,0,2
742,7,Humans,,34,92.0,1,0,6
744,9,Humans,,3,92.0,0,1,3
745,10,Humans,,0,92.0,0,1,4
746,11,Humans,,3,92.0,0,1,2
747,12,Humans,,10,92.0,0,1,3
748,13,Humans,,6,92.0,0,1,4
749,14,Humans,,8,92.0,0,1,3
750,15,Humans,,20,92.0,0,1,4
751,16,Humans,,34,92.0,1,0,6
752,17,Humans,,34,92.0,1,0,4
753,18,Humans,,11,92.0,0,1,6
743,8,Humans,,9,92.0,0,1,2
679,13,Humans,,12,84.0,0,1,4
678,12,Humans,,4,84.0,0,1,3
677,11,Humans,,3,84.0,0,1,2
603,6,Humans,,34,72.0,1,0,4
604,7,Humans,,4,72.0,0,1,6
605,8,Humans,,9,72.0,0,1,2
606,9,Humans,,7,72.0,0,1,3
607,10,Humans,,2,72.0,0,1,4
608,11,Humans,,0,72.0,0,1,2
609,12,Humans,,0,72.0,0,1,3
610,13,Humans,,4,72.0,0,1,4
611,14,Humans,,4,72.0,0,1,3
612,15,Humans,,1,72.0,0,1,4
602,5,Humans,,3,72.0,0,1,4
613,16,Humans,,10,72.0,0,1,6
615,18,Humans,,4,72.0,0,1,6
616,19,Humans,,8,72.0,0,1,2
617,20,Humans,,10,72.0,0,1,2
618,21,Humans,,7,72.0,0,1,2
619,22,Humans,,2,72.0,0,1,3
620,23,Humans,,3,72.0,0,1,3
621,1,Humans,,0,76.0,0,1,2
622,2,Humans,,2,76.0,0,1,2
623,3,Humans,,0,76.0,0,1,4
624,4,Humans,,1,76.0,0,1,2
614,17,Humans,,20,72.0,0,1,4
625,5,Humans,,6,76.0,0,1,4
601,4,Humans,,1,72.0,0,1,2
599,2,Humans,,2,72.0,0,1,2
577,3,Humans,,5,68.0,0,1,4
578,4,Humans,,14,68.0,0,1,2
579,5,Humans,,6,68.0,0,1,4
580,6,Humans,,0,68.0,0,1,4
581,7,Humans,,34,68.0,1,0,6
582,8,Humans,,2,68.0,0,1,2
583,9,Humans,,10,68.0,0,1,3
584,10,Humans,,0,68.0,0,1,4
585,11,Humans,,3,68.0,0,1,2
586,12,Humans,,6,68.0,0,1,3
600,3,Humans,,4,72.0,0,1,4
587,13,Humans,,34,68.0,1,0,4
589,15,Humans,,5,68.0,0,1,4
590,16,Humans,,34,68.0,1,0,6
591,17,Humans,,34,68.0,1,0,4
592,18,Humans,,1,68.0,0,1,6
593,19,Humans,,19,68.0,0,1,2
594,20,Humans,,18,68.0,0,1,2
595,21,Humans,,34,68.0,1,0,2
596,22,Humans,,13,68.0,0,1,3
597,23,Humans,,15,68.0,0,1,3
598,1,Humans,,2,72.0,0,1,2
588,14,Humans,,19,68.0,0,1,3
575,1,Humans,,8,68.0,0,1,2
626,6,Humans,,34,76.0,1,0,4
628,8,Humans,,3,76.0,0,1,2
655,12,Humans,,12,80.0,0,1,3
656,13,Humans,,4,80.0,0,1,4
657,14,Humans,,1,80.0,0,1,3
658,15,Humans,,0,80.0,0,1,4
659,16,Humans,,34,80.0,1,0,6
660,17,Humans,,24,80.0,0,1,4
661,18,Humans,,3,80.0,0,1,6
662,19,Humans,,0,80.0,0,1,2
663,20,Humans,,0,80.0,0,1,2
664,21,Humans,,34,80.0,1,0,2
654,11,Humans,,2,80.0,0,1,2
665,22,Humans,,0,80.0,0,1,3
667,1,Humans,,2,84.0,0,1,2
668,2,Humans,,4,84.0,0,1,2
669,3,Humans,,7,84.0,0,1,4
670,4,Humans,,5,84.0,0,1,2
671,5,Humans,,8,84.0,0,1,4
672,6,Humans,,7,84.0,0,1,4
673,7,Humans,,14,84.0,0,1,6
674,8,Humans,,5,84.0,0,1,2
675,9,Humans,,2,84.0,0,1,3
676,10,Humans,,4,84.0,0,1,4
666,23,Humans,,0,80.0,0,1,3
627,7,Humans,,1,76.0,0,1,6
653,10,Humans,,6,80.0,0,1,4
651,8,Humans,,5,80.0,0,1,2
629,9,Humans,,34,76.0,1,0,3
630,10,Humans,,1,76.0,0,1,4
631,11,Humans,,0,76.0,0,1,2
632,12,Humans,,0,76.0,0,1,3
633,13,Humans,,7,76.0,0,1,4
634,14,Humans,,1,76.0,0,1,3
635,15,Humans,,2,76.0,0,1,4
636,16,Humans,,3,76.0,0,1,6
637,17,Humans,,3,76.0,0,1,4
638,18,Humans,,3,76.0,0,1,6
652,9,Humans,,11,80.0,0,1,3
639,19,Humans,,5,76.0,0,1,2
641,21,Humans,,3,76.0,0,1,2
642,22,Humans,,1,76.0,0,1,3
643,23,Humans,,7,76.0,0,1,3
644,1,Humans,,1,80.0,0,1,2
645,2,Humans,,7,80.0,0,1,2
646,3,Humans,,2,80.0,0,1,4
647,4,Humans,,2,80.0,0,1,2
648,5,Humans,,0,80.0,0,1,4
649,6,Humans,,34,80.0,1,0,4
650,7,Humans,,2,80.0,0,1,6
640,20,Humans,,2,76.0,0,1,2
368,1,Humans,,0,32.0,0,1,2
781,23,Humans,,3,96.0,0,1,3
366,22,Humans,,0,28.0,0,1,3
116,2,Humans,,6,120.0,0,1,2
117,3,Humans,,0,120.0,0,1,4
118,4,Humans,,0,120.0,0,1,2
119,5,Humans,,22,120.0,0,1,4
120,6,Humans,,34,120.0,1,0,4
