,unreversed_prompt,reversed_prompt,unreversed_prompt_davinci_avg_prob,reversed_prompt_davinci_avg_prob,difference_davinci_avg_prob,unreversed_prompt_babbage_avg_prob,reversed_prompt_babbage_avg_prob,difference_babbage_avg_prob,unreversed_prompt_davinci_avg_logprob,reversed_prompt_davinci_avg_logprob,difference_davinci_avg_logprob,unreversed_prompt_babbage_avg_logprob,reversed_prompt_babbage_avg_logprob,difference_babbage_avg_logprob,unreversed_prompt_davinci_mult_prob,reversed_prompt_davinci_mult_prob,difference_davinci_mult_prob,unreversed_prompt_babbage_mult_prob,reversed_prompt_babbage_mult_prob,difference_babbage_mult_prob,unreversed_prompt_davinci_sum_logprob,reversed_prompt_davinci_sum_logprob,difference_davinci_sum_logprob,unreversed_prompt_babbage_sum_logprob,reversed_prompt_babbage_sum_logprob,difference_babbage_sum_logprob,unreversed_prompt_davinci_gm,reversed_prompt_davinci_gm,difference_davinci_gm,unreversed_prompt_babbage_gm,reversed_prompt_babbage_gm,difference_babbage_gm
0,a blanket covering a bowl,a bowl covering a blanket,0.0200606749391525,0.0240072210350724,-0.003946546095919899,0.013643596569825,0.0179896806183167,-0.0043460840484917,-7.2556580749999995,-7.647233625,0.39157555000000066,-7.4031637,-7.87856735,0.4754036499999996,2.486743215837467e-13,5.1927156238105144e-14,1.9674716534564156e-13,1.378438599449732e-13,2.0583854264380607e-14,1.172600056805926e-13,-29.022632299999998,-30.5889345,1.5663022000000026,-29.6126548,-31.5142694,1.9016145999999985,0.0007061675151728713,0.0004773628688230941,0.00022880464634977723,0.0006093219965595398,0.0003787753207158883,0.00023054667584365148
1,a blanket covering a box,a box covering a blanket,0.0213471337406023,0.02262695961608,-0.0012798258754777025,0.0139780868405339,0.0175158827737789,-0.0035377959332449985,-6.7693299,-7.5137648,0.7444348999999999,-7.055019150000001,-7.263622499999999,0.20860334999999885,1.7396805700258096e-12,8.85632685008666e-14,1.651117301524943e-12,5.548511030229845e-13,2.408769916051648e-13,3.139741114178197e-13,-27.0773196,-30.0550592,2.9777395999999996,-28.220076600000002,-29.054489999999998,0.8344133999999954,0.001148463978821527,0.0005455234311962345,0.0006029405476252925,0.0008630662092078193,0.0007005656344518124,0.0001625005747560069
2,a blanket covering a cylinder,a cylinder covering a blanket,0.0198603227356862,0.0318778092300448,-0.012017486494358603,0.0135625563528644,0.0242692119097552,-0.0107066555568908,-7.934369074999999,-8.09842465,0.1640555750000008,-7.733241850000001,-8.442056625,0.7088147749999987,1.6466040276452516e-14,8.542705790478317e-15,7.923334485974198e-15,3.681145209184273e-14,2.1609542248558287e-15,3.46504978669869e-14,-31.737476299999997,-32.3936986,0.6562223000000031,-30.932967400000003,-33.7682265,2.8352590999999947,0.00035821790806118915,0.0003040176953086344,5.420021275255474e-05,0.0004380218118865535,0.00021560627274243462,0.0002224155391441189
3,a blanket covering a spoon,a spoon covering a blanket,0.0198657633485641,0.0193825162331605,0.000483247115403599,0.0135480954248357,0.0193311927727785,-0.005783097347942802,-7.8533143249999995,-8.731796424999999,0.8784820999999994,-7.90145485,-8.82416625,0.922711399999999,2.277171270620345e-14,6.781347224590321e-16,2.2093577983744417e-14,1.8783089961007068e-14,4.686548986836103e-16,1.8314435062323457e-14,-31.413257299999998,-34.927185699999995,3.5139283999999975,-31.6058194,-35.296665,3.690845599999996,0.0003884623418615884,0.000161372302445363,0.0002270900394162254,0.00037020455638480884,0.00014713408412865656,0.00022307047225615228
4,a blanket covering a teacup,a teacup covering a blanket,0.1810603318254534,0.1291757525649847,0.05188457926046869,0.2101748080062901,0.1346034130669946,0.07557139493929549,-5.654760718333333,-6.406857550000001,0.7520968316666679,-5.41790739,-6.2722176450000005,0.8543102550000006,1.840821767904709e-15,2.0194017029823307e-17,1.820627750874886e-15,7.624235498009247e-15,4.52963204940362e-17,7.57893917751521e-15,-33.92856431,-38.4411453,4.512580990000004,-32.50744434,-37.63330587,5.125861530000002,0.0035008106664053927,0.0016502020401336704,0.0018506086262717223,0.004436420639217541,0.0018880369414580685,0.002548383697759472
5,a blanket hanging over a spoon,a spoon hanging over a blanket,0.073512425552917,0.0513333233160479,0.022179102236869093,0.0329462080745349,0.0342589748309945,-0.0013127667564596032,-7.195883280000001,-7.0156034599999995,-0.18027982000000176,-7.173574880000001,-7.40522576,0.23165087999999923,2.3677617222399174e-16,5.831907815461494e-16,-3.4641460932215766e-16,2.647159260645283e-16,8.312976942678064e-17,1.8158615663774763e-16,-35.979416400000005,-35.0780173,-0.9013991000000061,-35.867874400000005,-37.0261288,1.158254399999997,0.0007496656281339619,0.0008977638836836978,-0.00014809825554973593,0.0007665774048116575,0.0006080668325997675,0.0001585105722118899
6,a blanket in a bowl,a bowl in a blanket,0.0338996083800857,0.0256106378789739,0.008288970501111798,0.0279203844061933,0.0403936581675668,-0.012473273761373499,-6.39807615,-6.103584925,-0.2944912249999998,-6.335285675,-6.568702199999999,0.2334165249999991,7.680744756254131e-12,2.4945199925386002e-11,-1.726445516913187e-11,9.87373711903067e-12,3.881463665700671e-12,5.9922734533299996e-12,-25.5923046,-24.4143397,-1.1779648999999992,-25.3411427,-26.274808799999995,0.9336660999999964,0.0016647569369836583,0.002234841602036834,-0.0005700846650531757,0.0017726393675078231,0.001403617845842068,0.00036902152166575506
7,a blanket near a teacup,a teacup near a blanket,0.1900218752981703,0.132042525546032,0.05797934975213831,0.2206393100897304,0.1288891611948983,0.0917501488948321,-6.026508632833331,-5.705860016666667,-0.3206486161666646,-5.275049984499999,-6.093935928333333,0.818885943833334,1.978442048726687e-16,1.3547491322105566e-15,-1.156904927337888e-15,1.7965917448282223e-14,1.3201507279295084e-16,1.7833902375489274e-14,-36.15905179699999,-34.2351601,-1.9238916969999877,-31.650299906999994,-36.563615569999996,4.913315663000002,0.002413907119451819,0.003326415381954017,-0.0009125082625021982,0.005117700896158948,0.002256509952008053,0.0028611909441508946
8,a blanket on a box,a box on a blanket,0.0331452745233712,0.0283201093086126,0.004825165214758603,0.0277008885590231,0.0206310612270744,0.0070698273319486984,-6.3551357500000005,-6.225857050000001,-0.12927869999999952,-6.3259568,-6.009055099999999,-0.31690170000000073,9.120075804316892e-12,1.5296023855958488e-11,-6.175948051641595e-12,1.0249141192007458e-11,3.640844364198176e-11,-2.6159302449974305e-11,-25.420543000000002,-24.903428200000004,-0.5171147999999981,-25.3038272,-24.036220399999998,-1.267606800000003,0.0017377992763092727,0.0019776281626106298,-0.00023982888630135705,0.0017892534735559275,0.002456408144229884,-0.0006671546706739564
9,a blanket tied to a box,a box tied to a blanket,0.1026030256121469,0.1096859509518717,-0.007082925339724794,0.0698448616986946,0.094482027631476,-0.02463716593278141,-6.19024086,-6.08627444,-0.10396641999999989,-6.11898612,-5.75680478,-0.36218133999999935,3.614620973767368e-14,6.07887169281326e-14,-2.4642507190458916e-14,5.161672742775626e-14,3.1568740361506933e-13,-2.6407067618731305e-13,-30.9512043,-30.431372200000002,-0.5198320999999986,-30.594930599999998,-28.7840239,-1.8109066999999968,0.0020493330914585204,0.0022738645729015352,-0.00022453148144301483,0.0022006860639106392,0.003161196195919962,-0.0009605101320093227
10,a bowl hanging over a blanket,a blanket hanging over a bowl,0.0565052167111693,0.0735274547580079,-0.017022238046838598,0.0507026929716141,0.032988436654981,0.0177142563166331,-6.627433139999999,-6.980258280000001,0.352825140000002,-6.74571796,-6.692520280000001,-0.05319767999999936,4.0617369198983326e-15,6.95923871200453e-16,3.3658130486978798e-15,2.2483274740023557e-15,2.9334376506657874e-15,-6.851101766634317e-16,-33.1371657,-34.901291400000005,1.7641257000000081,-33.7285898,-33.462601400000004,-0.2659883999999977,0.0013235561126887139,0.0009300629555205462,0.00039349315716816766,0.001175904124047165,0.00124015329748791,-6.4249173440745e-05
11,a bowl on a box,a box on a bowl,0.040488421595806,0.0282588763244932,0.0122295452713128,0.0480820457020654,0.0205058920430414,0.027576153659024,-6.2135395,-6.594021175000001,0.3804816750000004,-6.3626993999999995,-6.473898925,0.11119952500000085,1.6068536671027738e-11,3.5076153387875713e-12,1.2560921332240167e-11,8.84828377007294e-12,5.6713399690408805e-12,3.1769438010320594e-12,-24.854158,-26.376084700000003,1.5219267000000016,-25.450797599999998,-25.8955957,0.4447981000000034,0.0020021383391538245,0.0013685258026039705,0.000633612536549854,0.0017247047544299897,0.0015431971780650148,0.00018150757636497487
12,a bowl under a blanket,a blanket under a bowl,0.028335499525447,0.0195851542438116,0.008750345281635399,0.0211312315904739,0.012906016172304,0.008225215418169899,-6.28205305,-7.176731425,0.8946783749999998,-6.5062757,-7.144133375,0.6378576750000002,1.2216761667061213e-11,3.4098916238308805e-13,1.1875772504678126e-11,4.982432950070415e-12,3.8848046869348024e-13,4.593952481376935e-12,-25.1282122,-28.7069257,3.578713499999999,-26.0251028,-28.5765335,2.551430700000001,0.0018695583546370369,0.0007641614837251747,0.0011053968709118622,0.0014940336038315504,0.000789482117450069,0.0007045514863814814
13,a box hanging over a bowl,a bowl hanging over a box,0.0338097188274634,0.0566846700611256,-0.022874951233662198,0.0169611640435278,0.0507763556078439,-0.0338151915643161,-6.21383076,-6.31337064,0.09953988000000003,-6.504288699999999,-6.54767116,0.04338246000000101,3.212461616300465e-14,1.952944242689095e-14,1.2595173736113704e-14,7.518246216792835e-15,6.052192450514504e-15,1.4660537662783305e-15,-31.0691538,-31.566853199999997,0.49769939999999835,-32.5214435,-32.7383558,0.21691230000000417,0.0020015552812560075,0.0018119156195915216,0.00018963966166448592,0.001497005199905367,0.0014334499898430238,6.355521006234325e-05
14,a box in a bowl,a bowl in a box,0.027010323825633,0.0265884397993718,0.0004218840262611989,0.0293019858233049,0.0406038011941405,-0.011301815370835598,-5.99133445,-5.700264675,-0.2910697750000004,-5.661279175000001,-6.046729599999999,0.3854504249999984,3.908283296318271e-11,1.2520625480550654e-10,-8.612342184232382e-11,1.4633586368118758e-10,3.13151722314446e-11,1.1502069144974298e-10,-23.9653378,-22.8010587,-1.1642791000000017,-22.645116700000003,-24.186918399999996,1.5418016999999935,0.002500325263927444,0.003345079981250696,-0.0008447547173232521,0.0034780649976453946,0.0023655857814288946,0.0011124792162165
15,a box occluded by a teacup,a teacup occluded by a box,0.1760337174671045,0.1123838342441155,0.063649883222989,0.2181827116826524,0.1411934456121916,0.0769892660704608,-5.50169556125,-5.915449112499999,0.41375355124999924,-4.700910219624999,-5.55722942125,0.8563192016250003,7.676297771136892e-20,2.8030105973005726e-21,7.395996711406835e-20,4.6490589552276474e-17,4.922745926119717e-20,4.644136209301528e-17,-44.01356449,-47.323592899999994,3.310028409999994,-37.607281756999996,-44.45783537,6.850553613000002,0.0040798479384432885,0.0026974480691254092,0.0013823998693178793,0.00908700216855763,0.0038594545211718444,0.0052275476473857855
16,a box on a spoon,a spoon on a box,0.0282969970019795,0.0399057828381846,-0.011608785836205098,0.0205338359340231,0.0372395755309481,-0.016705739596925003,-6.311794550000001,-6.714265900000001,0.4024713499999999,-6.275656675,-6.706325875000001,0.4306692000000014,1.0846505082970098e-11,2.1683304985259853e-12,8.678174584444113e-12,1.2533366599360957e-11,2.2383021639113833e-12,1.0295064435449573e-11,-25.247178200000004,-26.857063600000004,1.6098853999999996,-25.1026267,-26.825303500000004,1.7226768000000057,0.001814773613316447,0.001213476498127492,0.0006012971151889551,0.0018815550778254083,0.0012231498845036756,0.0006584051933217327
17,a box tied to a bowl,a bowl tied to a box,0.1096791862367486,0.1216734101828604,-0.011994223946111798,0.0944560908316055,0.0856957380597302,0.008760352771875299,-6.173774440000001,-5.863501780000001,-0.31027265999999987,-5.9946953800000005,-6.239610219999999,0.24491483999999897,3.924814550809106e-14,1.8516873582297947e-13,-1.4592059031488841e-13,9.609136858324686e-14,2.8239601318560853e-14,6.785176726468601e-14,-30.868872200000002,-29.317508900000004,-1.5513632999999984,-29.9734769,-31.198051099999997,1.2245741999999957,0.002083357633270749,0.002841276715824056,-0.0007579190825533072,0.002491935951580957,0.0019506156856693253,0.0005413202659116318
18,a box tied to a cylinder,a cylinder tied to a box,0.1096736144651229,0.167531750822951,-0.05785813635782809,0.0944742372250228,0.1539238439524843,-0.059449606727461496,-6.294086940000001,-6.21498541,-0.07910153000000086,-5.80367978,-6.48446764,0.6807878599999997,2.150620923165198e-14,3.193968705736787e-14,-1.0433477825715892e-14,2.4972929093479694e-13,8.301516383399839e-15,2.414277745513971e-13,-31.470434700000002,-31.07492705,-0.39550765000000254,-29.0183989,-32.4223382,3.4039392999999976,0.001847195123258028,0.001999245519190507,-0.00015205039593247922,0.0030164344825832677,0.001526973449893412,0.0014894610326898557
19,a box under a blanket,a blanket under a box,0.0172226956297739,0.0197693654475498,-0.0025466698177759005,0.0203289103924106,0.0132570096551641,0.007071900737246499,-6.1337811250000005,-7.052707925,0.9189267999999995,-5.708749525,-6.77010995,1.0613604250000002,2.2107051188277813e-11,5.600044302791592e-13,2.1547046757998654e-11,1.2102813217997057e-10,1.7342608783691844e-12,1.1929387130160137e-10,-24.535124500000002,-28.2108317,3.675707199999998,-22.8349981,-27.0804398,4.245441700000001,0.0021683665756251406,0.0008650632563308356,0.001303303319294305,0.0033168175501730865,0.0011475684688115465,0.0021692490813615397
20,a box under a bowl,a bowl under a box,0.0158680327952042,0.0267918742297752,-0.010923841434571,0.0152530981399636,0.0205485584350517,-0.005295460295088102,-6.522452975,-6.812326550000001,0.28987357500000055,-6.5583589,-7.06486945,0.5065105499999998,4.6702341795082825e-12,1.4647944360415701e-12,3.2054397434667122e-12,4.045420561977758e-12,5.334143930132065e-13,3.5120061689645517e-12,-26.0898119,-27.249306200000003,1.1594943000000022,-26.2334356,-28.2594778,2.026042199999999,0.0014700586588618232,0.0011001304118255471,0.00036992824703627604,0.0014182112280676934,0.0008546064819556493,0.0005636047461120441
21,a child chasing a dog,a dog chasing a child,0.0969957095375228,0.0829397833997127,0.014055926137810107,0.0810919249155279,0.063196373620317,0.017895551295210893,-6.41342985,-6.026728075,-0.3867017749999997,-6.63263195,-6.4344828000000005,-0.19814914999999989,7.22322634968513e-12,3.392352803322771e-11,-2.6700301683542578e-11,3.005648392505994e-12,6.6398536058167844e-12,-3.6342052133107903e-12,-25.6537194,-24.1069123,-1.5468070999999988,-26.5305278,-25.737931200000002,-0.7925965999999995,0.0016393919796573355,0.0024133774645598224,-0.0007739854849024869,0.001316693051268357,0.0016052387172031102,-0.00028854566593475317
22,a child helping a man,a man helping a child,0.0292339381190526,0.0829606199940303,-0.0537266818749777,0.0272051042837523,0.0390726301152431,-0.011867525831490797,-6.84583165,-5.585105475,-1.2607261750000003,-6.482096575,-6.1198971250000005,-0.3621994499999994,1.2810685263836945e-12,1.9846231156489105e-10,-1.9718124303850736e-10,5.48838925297506e-12,2.336952015754497e-11,-1.7881130904569912e-11,-27.3833266,-22.3404219,-5.042904700000001,-25.9283863,-24.479588500000002,-1.4487977999999977,0.0010638810919435173,0.0037533538638927478,-0.0026894727719492303,0.0015305982988744321,0.002198682140833549,-0.0006680838419591167
23,a child hindering a robot,a robot hindering a child,0.0613210191315608,0.0130928948863567,0.048228124245204104,0.0718135538328962,0.014519088885841,0.0572944649470552,-7.3394497,-7.09349718,-0.24595252000000034,-7.574854239999999,-6.94517804,-0.6296761999999987,1.1550146038325987e-16,3.9506320860855903e-16,-2.7956174822529916e-16,3.5596968291938164e-17,8.293493468380105e-16,-7.937523785460724e-16,-36.6972485,-35.4674859,-1.2297626000000008,-37.874271199999995,-34.7258902,-3.1483809999999934,0.0006494077917398597,0.0008304879154084451,-0.00018108012366858538,0.0005131952196786017,0.0009632688167504623,-0.00045007359707186054
24,a child hugging an iguana,an iguana hugging a child,0.2957708600372787,0.1227564649563964,0.1730143950808823,0.2657041532738434,0.0990922325946304,0.166611920679213,-4.4653692125285716,-4.621693725714286,0.15632451318571405,-4.455665721757144,-4.762735585714286,0.30706986395714253,2.6607467439826774e-14,8.907737801471497e-15,1.7699729638355277e-14,2.8477558117475386e-14,3.3188797288308794e-15,2.5158678388644507e-14,-31.2575844877,-32.35185608,1.0942715922999966,-31.189660052300002,-33.3391491,2.1494890476999977,0.011500448866229964,0.009836122251556898,0.0016643266146730666,0.011612586549272516,0.00854220945965659,0.003070377089615925
25,a child pushing a bowl,a bowl pushing a child,0.1235803918605955,0.0181423483559576,0.1054380435046379,0.0933804031520333,0.011269907038428,0.0821104961136053,-7.098387565,-7.772118225,0.6737306599999995,-7.4891879249999995,-7.988571925,0.49938400000000005,4.664851257089003e-13,3.150995396838238e-14,4.3497517174051794e-13,9.77120311144279e-14,1.3256509236189878e-14,8.445552187823802e-14,-28.39355026,-31.0884729,2.694922639999998,-29.956751699999998,-31.9542877,1.9975360000000002,0.0008264364245139717,0.0004213198706530664,0.0004051165538609053,0.0005590968047144301,0.0003393183095203659,0.0002197784951940642
26,a child touching a bowl,a bowl touching a child ,0.0653582936706216,0.0144937335170661,0.0508645601535555,0.0466945375289842,0.0058968821144508,0.040797655414533396,-7.10062165,-7.769654040000001,0.6690323900000008,-7.351270950000001,-8.06759016,0.7163192099999991,4.623350269854738e-13,1.3440351310034077e-17,4.623215866341637e-13,1.6964238351036494e-13,3.030055311250616e-18,1.696393534550537e-13,-28.4024866,-38.8482702,10.445783600000002,-29.405083800000003,-40.3379508,10.932866999999998,0.0008245921561876964,0.00042235936098076776,0.00040223279520692866,0.0006417761763695478,0.00031353794767542914,0.00032823822869411867
27,a cylinder hanging over a box,a box hanging over a cylinder,0.0493806220692235,0.0332496100587471,0.016131012010476398,0.0306908666030243,0.0165793223620156,0.014111544241008703,-6.43022174,-6.86851822,0.43829648,-6.906778559999999,-7.305265299999999,0.39848674000000006,1.0888070005290876e-14,1.2167523424641181e-15,9.671317662826758e-15,1.0048955390959175e-15,1.3703072542979393e-16,8.678648136661236e-16,-32.1511087,-34.3425911,2.191482399999998,-34.5338928,-36.526326499999996,1.9924336999999994,0.0016120933292767111,0.0010400169998009473,0.0005720763294757639,0.0010009771961274558,0.0006719912085779434,0.0003289859875495124
28,a cylinder in a box,a box in a cylinder,0.0454042974583438,0.0268797654178458,0.018524532040497997,0.0619013867713311,0.0290289235842571,0.032872463187074,-5.678772049999999,-6.4581312,0.7793591500000012,-5.751978625,-6.280419675,0.5284410500000005,1.3644654359801729e-10,6.040557541781486e-12,1.304059860562358e-10,1.0180982537659928e-10,1.229684119434855e-11,8.951298418225074e-11,-22.715088199999997,-25.8325248,3.117436600000005,-23.0079145,-25.1216787,2.113764200000002,0.0034177526971259043,0.0015677227347774695,0.0018500299623484349,0.003176489492973919,0.0018726145397832787,0.0013038749531906401
29,a cylinder near a spoon,a spoon near a cylinder,0.0233623295908455,0.0227019102901799,0.000660419300665599,0.0154286211978673,0.0132823516649643,0.0021462695329030005,-7.972538075,-8.177848675,0.2053105999999998,-8.03721985,-8.29735425,0.2601344000000001,1.4134577423036901e-14,6.217585790995275e-15,7.916991632041625e-15,1.0912369855517999e-14,3.854955235596641e-15,7.057414619921358e-15,-31.8901523,-32.7113947,0.8212423999999992,-32.1488794,-33.189417,1.0405376000000004,0.0003448027391623291,0.00028080539444799886,6.399734471433026e-05,0.00032320626410246546,0.00024917521107891165,7.403105302355382e-05
30,a cylinder occluded by a bowl,a bowl occluded by a cylinder,0.1831541638154782,0.0784558565936499,0.1046983072218283,0.1493572974582355,0.1188095305014454,0.03054776695679011,-5.954865621666667,-6.3805446833333335,0.42567906166666614,-5.492212233333333,-6.264526883333333,0.7723146499999993,3.0409432834750047e-16,2.3647645971446085e-17,2.804466823760544e-16,4.881746254587201e-15,4.7435475350792813e-17,4.834310779236408e-15,-35.729193730000006,-38.2832681,2.554074369999995,-32.9532734,-37.5871613,4.633887899999998,0.0025931922800467052,0.0016941999028096616,0.0008989923772370436,0.004118722513119851,0.0019026133636402755,0.002216109149479576
31,a cylinder occluded by a box,a box occluded by a cylinder,0.1831633295137206,0.0811979708280698,0.1019653586856508,0.1492901488436798,0.1103037620635468,0.038986386780133,-5.808055788333334,-6.135344666666668,0.3272888783333334,-5.859562399999999,-5.421230283333333,-0.4383321166666656,7.337709655552121e-16,1.0297267624816014e-16,6.307982893070519e-16,5.386991618946043e-16,7.473733660141097e-15,-6.935034498246493e-15,-34.848334730000005,-36.812068000000004,1.9637332699999988,-35.157374399999995,-32.5273817,-2.6299926999999954,0.0030032633795970152,0.002164978893216987,0.0008382844863800282,0.0028524916599526893,0.004421703352181,-0.0015692116922283112
32,a cylinder occluded by a teacup,a teacup occluded by a cylinder,0.2369286774474459,0.1123870762530816,0.12454160119436429,0.235785806406392,0.1412431569618483,0.09454264944454369,-5.1368490287499995,-5.8971384874999995,0.76028945875,-4.68704838625,-5.47739542125,0.7903470349999999,1.4215380850310008e-18,3.2452067219071554e-21,1.4182928783090935e-18,5.194287639521121e-17,9.32350368463768e-20,5.1849641358364834e-17,-41.094792229999996,-47.177107899999996,6.08231567,-37.49638709,-43.81916337,6.322776279999999,0.0058761762351677,0.0027472950007005935,0.0031288812344671063,0.009213841762135223,0.004180203199735925,0.005033638562399298
33,a cylinder on a spoon,a spoon on a cylinder,0.0545467101810116,0.0396898205056357,0.0148568896753759,0.040617745358253,0.0371564380828257,0.0034613072754273028,-6.9054832,-7.468172150000001,0.562688950000001,-6.859381975,-7.456814125000001,0.5974321500000013,1.0091297400685475e-12,1.0628113444080162e-13,9.028486056277458e-13,1.2134811541807203e-12,1.1122107585308738e-13,1.102260078327633e-12,-27.6219328,-29.872688600000004,2.250755800000004,-27.4375279,-29.827256500000004,2.389728600000005,0.0010022746621095736,0.0005709709929708275,0.0004313036691387461,0.0010495623880211833,0.0005774930645948526,0.00047206932342633073
34,a cylinder under a spoon,a spoon under a cylinder,0.0240636202697441,0.0159234182316947,0.0081402020380494,0.0217669872198729,0.0136590209436162,0.0081079662762567,-7.464108825,-8.07522835,0.6111195249999994,-7.824550074999999,-7.831029675,0.006479600000000474,1.0802266809950699e-13,9.373279124094636e-15,9.864938897541236e-14,2.5548435832448856e-14,2.4894768846430884e-14,6.536669860179721e-16,-29.8564353,-32.3009134,2.4444780999999978,-31.298200299999998,-31.3241187,0.025918400000001895,0.0005732957536112551,0.00031115220822353193,0.0002621435453877232,0.00039979842515011215,0.00039721626598813184,2.5821591619803043e-06
35,a man helping a monkey,a monkey helping a man,0.0729887749358255,0.0522005126618071,0.020788262274018407,0.0281658255783992,0.0365456402653298,-0.008379814686930599,-6.65346485,-6.937375674999999,0.28391082499999953,-7.365502625,-6.91701805,-0.44848457500000016,2.765334809107596e-12,8.882681737894001e-13,1.877066635318196e-12,1.602549356333686e-13,9.63626908105874e-13,-8.033719724725055e-13,-26.6138594,-27.749502699999997,1.1356432999999981,-29.4620105,-27.6680722,-1.7939383000000007,0.001289546271498154,0.0009708139884665436,0.00031873228303161037,0.0006327073120368468,0.0009907799962957924,-0.0003580726842589456
